
============
INPUT STATUS
============
Total Chunks: 1000
steps per chunk: 20
Interval: 1.000000 to 100.000000
============
Area for process 22, is: 65.391135
Area for process 22, is: 65.895886
Area for process 22, is: 66.402579
Area for process 22, is: 66.911211
Area for process 22, is: 67.421785
Area for process 22, is: 67.934298
Area for process 22, is: 68.448753
Area for process 22, is: 68.965148
Area for process 22, is: 69.483484
Area for process 22, is: 70.003760
Area for process 22, is: 70.525977
Area for process 22, is: 71.050134
Area for process 22, is: 71.576232
Area for process 22, is: 72.104271
Area for process 22, is: 72.634250
Area for process 22, is: 73.166170
Area for process 22, is: 73.700031
Area for process 22, is: 74.235832
Area for process 22, is: 74.773573
Area for process 22, is: 75.313256
Area for process 22, is: 75.854879
Area for process 22, is: 76.398442
Area for process 22, is: 76.943946
Area for process 22, is: 77.491391
Area for process 22, is: 78.040776
Area for process 22, is: 78.592102
Area for process 22, is: 79.145368
Area for process 22, is: 79.700575
Area for process 22, is: 80.257723
Area for process 22, is: 80.816811
Area for process 22, is: 81.377840
Area for process 22, is: 81.940810
Area for process 22, is: 82.505720
Area for process 22, is: 83.072570
Area for process 22, is: 83.641361
Area for process 22, is: 84.212093
Area for process 22, is: 84.784766
Area for process 22, is: 85.359379
Area for process 22, is: 85.935932
Area for process 22, is: 86.514427
Area for process 22, is: 87.094861
Area for process 22, is: 87.677237
Area for process 22, is: 88.261553
Area for process 22, is: 88.847809
Area for process 22, is: 89.436007
Area for process 22, is: 90.026145
Area for process 22, is: 90.618223
Area for process 22, is: 91.212242
Area for process 22, is: 91.808202
Area for process 22, is: 92.406102
Area for process 22, is: 93.005943
Area for process 22, is: 93.607724
Area for process 22, is: 94.211446
Area for process 22, is: 94.817109
Area for process 22, is: 95.424712
Area for process 22, is: 96.034256
Area for process 22, is: 96.645740
Area for process 22, is: 97.259165
Area for process 22, is: 97.874530
Area for process 22, is: 98.491837
Area for process 22, is: 99.111083
Area for process 22, is: 99.732271
Area for process 22, is: 100.355399
Area for process 22, is: 100.980467
Area for process 22, is: 101.607477
Area for process 22, is: 102.236426
Area for process 22, is: 102.867317
Area for process 22, is: 103.500148
Area for process 22, is: 104.134919
Area for process 22, is: 104.771631
Area for process 22, is: 105.410284
Area for process 30, is: 64.387454
Area for process 12, is: 0.452826
Area for process 9, is: 0.335802
Area for process 11, is: 0.411877
Area for process 33, is: 1.761024
Area for process 35, is: 1.930248
Area for process 19, is: 0.793802
Area for process 12, is: 107.337886
Area for process 12, is: 111.245486
Area for process 12, is: 111.903545
Area for process 12, is: 112.563544
Area for process 12, is: 113.225484
Area for process 12, is: 113.889364
Area for process 12, is: 114.555186
Area for process 12, is: 115.222947
Area for process 12, is: 115.892650
Area for process 12, is: 116.564293
Area for process 12, is: 117.237876
Area for process 12, is: 117.913400
Area for process 12, is: 118.590865
Area for process 12, is: 119.270270
Area for process 12, is: 119.951616
Area for process 12, is: 120.634903
Area for process 12, is: 121.320130
Area for process 12, is: 122.007298
Area for process 12, is: 122.696406
Area for process 12, is: 123.387455
Area for process 12, is: 124.080444
Area for process 12, is: 124.775374
Area for process 12, is: 125.472245
Area for process 12, is: 126.171056
Area for process 12, is: 126.871808
Area for process 12, is: 127.574501
Area for process 12, is: 128.279134
Area for process 12, is: 128.985708
Area for process 12, is: 129.694222
Area for process 12, is: 130.404677
Area for process 12, is: 131.117072
Area for process 12, is: 131.831408
Area for process 12, is: 132.547685
Area for process 9, is: 107.984301
Area for process 33, is: 109.282953
Area for process 12, is: 133.265902
Area for process 12, is: 135.432198
Area for process 12, is: 136.158177
Area for process 12, is: 136.886098
Area for process 12, is: 137.615959
Area for process 12, is: 138.347760
Area for process 12, is: 139.081502
Area for process 12, is: 139.817185
Area for process 12, is: 140.554808
Area for process 12, is: 141.294372
Area for process 12, is: 142.035876
Area for process 12, is: 142.779321
Area for process 12, is: 143.524707
Area for process 12, is: 144.272033
Area for process 12, is: 145.021300
Area for process 12, is: 145.772508
Area for process 12, is: 146.525656
Area for process 12, is: 147.280744
Area for process 12, is: 148.037773
Area for process 12, is: 148.796743
Area for process 12, is: 149.557654
Area for process 12, is: 150.320505
Area for process 12, is: 151.085296
Area for process 12, is: 151.852029
Area for process 12, is: 152.620701
Area for process 12, is: 153.391315
Area for process 12, is: 154.163869
Area for process 12, is: 154.938364
Area for process 12, is: 155.714799
Area for process 12, is: 156.493175
Area for process 12, is: 157.273491
Area for process 12, is: 158.055748
Area for process 12, is: 158.839946
Area for process 12, is: 159.626084
Area for process 12, is: 160.414163
Area for process 12, is: 161.204182
Area for process 12, is: 161.996142
Area for process 12, is: 162.790043
Area for process 12, is: 163.585884
Area for process 28, is: 2.684768
Area for process 28, is: 165.183388
Area for process 28, is: 165.985051
Area for process 28, is: 166.788655
Area for process 28, is: 167.594199
Area for process 28, is: 168.401684
Area for process 28, is: 169.211109
Area for process 28, is: 170.022475
Area for process 28, is: 170.835782
Area for process 28, is: 171.651029
Area for process 28, is: 172.468216
Area for process 28, is: 173.287345
Area for process 28, is: 174.108414
Area for process 28, is: 174.931423
Area for process 28, is: 175.756374
Area for process 28, is: 176.583264
Area for process 28, is: 177.412096
Area for process 28, is: 178.242868
Area for process 28, is: 179.075580
Area for process 28, is: 179.910233
Area for process 28, is: 180.746827
Area for process 28, is: 181.585362
Area for process 28, is: 182.425836
Area for process 28, is: 183.268252
Area for process 28, is: 184.112608
Area for process 28, is: 184.958905
Area for process 28, is: 185.807142
Area for process 28, is: 186.657320
Area for process 28, is: 187.509439
Area for process 28, is: 188.363498
Area for process 28, is: 189.219498
Area for process 28, is: 190.077438
Area for process 28, is: 190.937319
Area for process 28, is: 191.799140
Area for process 28, is: 192.662903
Area for process 28, is: 193.528605
Area for process 28, is: 194.396249
Area for process 28, is: 195.265833
Area for process 28, is: 196.137357
Area for process 28, is: 197.010822
Area for process 4, is: 0.179574
Area for process 16, is: 3.108603
Area for process 1, is: 2.583661
Area for process 9, is: 133.986060
Area for process 33, is: 134.708159
Area for process 24, is: 3.332163
Area for process 26, is: 34.880916
Area for process 28, is: 197.886228
Area for process 6, is: 0.236243
Area for process 10, is: 2.999733
Area for process 16, is: 199.642861
Area for process 18, is: 0.739270
Area for process 20, is: 35.249826
Area for process 22, is: 106.050878
Area for process 24, is: 203.179415
Area for process 24, is: 211.250185
Area for process 24, is: 212.156641
Area for process 24, is: 213.065037
Area for process 24, is: 213.975373
Area for process 24, is: 214.887650
Area for process 24, is: 215.801868
Area for process 24, is: 216.718026
Area for process 24, is: 217.636125
Area for process 24, is: 218.556164
Area for process 24, is: 219.478145
Area for process 24, is: 220.402065
Area for process 24, is: 221.327926
Area for process 24, is: 222.255728
Area for process 24, is: 223.185471
Area for process 26, is: 204.068405
Area for process 22, is: 210.345671
Area for process 22, is: 225.986342
Area for process 22, is: 226.923847
Area for process 22, is: 227.863292
Area for process 22, is: 228.804678
Area for process 22, is: 229.748005
Area for process 22, is: 230.693272
Area for process 22, is: 231.640480
Area for process 22, is: 232.589628
Area for process 22, is: 233.540717
Area for process 22, is: 234.493747
Area for process 22, is: 235.448717
Area for process 22, is: 236.405628
Area for process 22, is: 237.364479
Area for process 22, is: 238.325272
Area for process 22, is: 239.288004
Area for process 22, is: 240.252677
Area for process 22, is: 241.219291
Area for process 22, is: 242.187846
Area for process 22, is: 243.158341
Area for process 24, is: 224.117154
Area for process 24, is: 245.105152
Area for process 24, is: 246.081469
Area for process 24, is: 247.059727
Area for process 24, is: 248.039925
Area for process 24, is: 249.022063
Area for process 24, is: 250.006143
Area for process 24, is: 250.992162
Area for process 24, is: 251.980123
Area for process 24, is: 252.970024
Area for process 24, is: 253.961865
Area for process 24, is: 254.955648
Area for process 24, is: 255.951370
Area for process 24, is: 256.949034
Area for process 24, is: 257.948638
Area for process 24, is: 258.950182
Area for process 24, is: 259.953667
Area for process 24, is: 260.959093
Area for process 24, is: 261.966460
Area for process 24, is: 262.975767
Area for process 24, is: 263.987014
Area for process 24, is: 265.000202
Area for process 24, is: 266.015331
Area for process 24, is: 267.032401
Area for process 24, is: 268.051410
Area for process 24, is: 269.072361
Area for process 26, is: 225.050778
Area for process 1, is: 200.524089
Area for process 11, is: 108.632657
Area for process 3, is: 0.154150
Area for process 33, is: 202.292365
Area for process 17, is: 0.686678
Area for process 22, is: 244.130776
Area for process 24, is: 270.095252
Area for process 26, is: 271.120084
Area for process 22, is: 277.309827
Area for process 24, is: 278.348243
Area for process 26, is: 279.388600
Area for process 22, is: 280.430897
Area for process 24, is: 281.475135
Area for process 26, is: 282.521313
Area for process 22, is: 283.569432
Area for process 24, is: 284.619491
Area for process 26, is: 285.671491
Area for process 22, is: 286.725432
Area for process 24, is: 287.781314
Area for process 26, is: 288.839135
Area for process 22, is: 289.898898
Area for process 33, is: 275.238817
Area for process 17, is: 276.273352
Area for process 24, is: 290.960601
Area for process 26, is: 292.024245
Area for process 22, is: 293.089829
Area for process 24, is: 296.298226
Area for process 26, is: 297.371572
Area for process 22, is: 298.446860
Area for process 24, is: 299.524088
Area for process 26, is: 300.603256
Area for process 22, is: 301.684365
Area for process 24, is: 302.767415
Area for process 26, is: 303.852405
Area for process 26, is: 307.119020
Area for process 26, is: 308.211772
Area for process 26, is: 309.306466
Area for process 26, is: 310.403100
Area for process 26, is: 311.501674
Area for process 26, is: 312.602189
Area for process 26, is: 313.704645
Area for process 26, is: 314.809041
Area for process 26, is: 315.915378
Area for process 22, is: 304.939336
Area for process 24, is: 306.028208
Area for process 26, is: 317.023656
Area for process 22, is: 318.133874
Area for process 11, is: 273.175569
Area for process 17, is: 295.226820
Area for process 22, is: 321.476171
Area for process 24, is: 319.246032
Area for process 26, is: 320.360132
Area for process 22, is: 324.835935
Area for process 24, is: 325.959737
Area for process 26, is: 327.085480
Area for process 22, is: 328.213163
Area for process 22, is: 331.607857
Area for process 24, is: 329.342787
Area for process 26, is: 330.474352
Area for process 26, is: 335.020017
Area for process 26, is: 336.161284
Area for process 26, is: 337.304492
Area for process 26, is: 338.449641
Area for process 26, is: 339.596731
Area for process 26, is: 340.745761
Area for process 26, is: 341.896731
Area for process 26, is: 343.049643
Area for process 26, is: 344.204494
Area for process 26, is: 345.361287
Area for process 26, is: 346.520020
Area for process 26, is: 347.680693
Area for process 26, is: 348.843308
Area for process 26, is: 350.007863
Area for process 22, is: 332.743303
Area for process 24, is: 333.880689
Area for process 26, is: 351.174358
Area for process 22, is: 352.342794
Area for process 24, is: 353.513171
Area for process 26, is: 354.685488
Area for process 17, is: 323.714073
Area for process 23, is: 1.031340
Area for process 22, is: 355.859746
Area for process 24, is: 357.035944
Area for process 26, is: 358.214083
Area for process 22, is: 361.760144
Area for process 24, is: 362.946045
Area for process 26, is: 364.133887
Area for process 26, is: 367.709057
Area for process 26, is: 368.904661
Area for process 26, is: 370.102206
Area for process 26, is: 371.301692
Area for process 26, is: 372.503118
Area for process 26, is: 373.706485
Area for process 26, is: 374.911792
Area for process 26, is: 376.119040
Area for process 26, is: 377.328228
Area for process 26, is: 378.539358
Area for process 26, is: 379.752427
Area for process 26, is: 380.967438
Area for process 26, is: 382.184389
Area for process 22, is: 365.323670
Area for process 24, is: 366.515393
Area for process 26, is: 383.403280
Area for process 22, is: 384.624112
Area for process 24, is: 385.846885
Area for process 26, is: 387.071599
Area for process 26, is: 390.757382
Area for process 26, is: 391.989858
Area for process 26, is: 393.224274
Area for process 26, is: 394.460631
Area for process 26, is: 395.698929
Area for process 26, is: 396.939167
Area for process 26, is: 398.181346
Area for process 22, is: 388.298253
Area for process 24, is: 389.526847
Area for process 26, is: 399.425465
